"","name","val","dval","type"
"117","f_pi_ov_f_Ds",0.524537409493162,0.0057534315510814,"PDG/FLAG"
"118","f_pi_ov_f_Ds",0.505631067961165,0.0105426875448505,"FLAG/PDG"
"119","f_pi_ov_f_Ds",0.523732904263878,0.00800434084683755,"FLAG"
"120","f_K_ov_f_Ds",0.606601941747573,0.0111721606908856,"PDG"
"121","f_K_ov_f_Ds",0.628318584070796,0.00738215981169851,"PDG/FLAG"
"122","f_K_ov_f_Ds",0.606990291262136,0.0113927024294153,"FLAG/PDG"
"123","f_K_ov_f_Ds",0.628720836685439,0.00772876171589181,"FLAG"
"124","m_D_ov_f_Ds",7.24217475728155,0.129375757396564,"PDG"
"125","m_D_ov_f_Ds",7.50144810941271,0.0814735603158245,"PDG/FLAG"
"126","f_D_ov_f_Ds",0.794563106796117,0.0240522741200388,"PDG"
"127","f_D_ov_f_Ds",0.823008849557522,0.0220094438191869,"PDG/FLAG"
"128","f_D_ov_f_Ds",0.812427184466019,0.0193616294382864,"FLAG/PDG"
"129","f_D_ov_f_Ds",0.841512469831054,0.0161164126221526,"FLAG"
"130","m_Ds_ov_f_Ds",7.64466019417476,0.136570457623882,"PDG"
"131","m_Ds_ov_f_Ds",7.91834271922767,0.0860093323508832,"PDG/FLAG"
"132","f_Ds",257.5,4.6,"PDG"
